,screen,read-out,compound,concentration,measurement_name,SEM,STDEV,average
0,1,calcium,BayK8644,0.0,Amplitude,0.0,0.0,0.0
1,1,calcium,BayK8644,0.0,Area Under the Curve,0.0,0.0,0.0
2,1,calcium,BayK8644,0.0,Beat Rate,0.0,0.0,0.0
3,1,calcium,BayK8644,0.0,Falling Slope,0.0,0.0,0.0
4,1,calcium,BayK8644,0.0,Rising Slope,0.0,0.0,0.0
5,1,calcium,BayK8644,0.0,Triangulation,0.0,0.0,0.0
6,1,calcium,BayK8644,0.03,Amplitude,10.233209480498413,17.724438744718768,60.729343138608144
7,1,calcium,BayK8644,0.03,Area Under the Curve,27.827168087102933,48.19806895762152,141.03366764293048
8,1,calcium,BayK8644,0.03,Beat Rate,1.3130120766765512,2.274203627755309,-15.760141358672167
9,1,calcium,BayK8644,0.03,Falling Slope,7.286265117076716,12.620181380193666,12.135644097045173
10,1,calcium,BayK8644,0.03,Rising Slope,21.835994162809857,37.8210513237641,14.499779653187764
11,1,calcium,BayK8644,0.03,Triangulation,3.7926892057007233,6.569130401591702,16.29382307301845
12,1,calcium,BayK8644,0.1,Amplitude,13.975973644297923,27.951947288595846,44.28553690485249
13,1,calcium,BayK8644,0.1,Area Under the Curve,31.11846422551895,62.2369284510379,97.60269341058999
14,1,calcium,BayK8644,0.1,Beat Rate,2.6368231417123758,5.2736462834247515,-11.619055303189764
15,1,calcium,BayK8644,0.1,Falling Slope,2.584445097991141,5.168890195982282,2.2168448216765952
16,1,calcium,BayK8644,0.1,Rising Slope,3.6280859814903437,7.256171962980687,-5.649992481445427
17,1,calcium,BayK8644,0.1,Triangulation,5.219767433910713,10.439534867821425,17.581516031277843
18,1,calcium,BayK8644,0.3,Amplitude,2.6907173084904255,5.381434616980851,61.36635806830854
19,1,calcium,BayK8644,0.3,Area Under the Curve,5.908467912222058,11.816935824444116,142.8340482230167
20,1,calcium,BayK8644,0.3,Beat Rate,1.8477411036860574,3.6954822073721147,-6.8588139572308755
21,1,calcium,BayK8644,0.3,Falling Slope,5.399330690351888,10.798661380703775,17.338130388430717
22,1,calcium,BayK8644,0.3,Rising Slope,3.24662117498871,6.49324234997742,2.7602877181029424
23,1,calcium,BayK8644,0.3,Triangulation,1.7929443949604065,3.585888789920813,19.30131852163333
24,1,calcium,BayK8644,1.0,Amplitude,2.779390994678706,5.558781989357412,56.2050201796609
25,1,calcium,BayK8644,1.0,Area Under the Curve,5.711948193834475,11.42389638766895,129.44209806517418
26,1,calcium,BayK8644,1.0,Beat Rate,1.7478274899385449,3.4956549798770897,-1.4700187960217157
27,1,calcium,BayK8644,1.0,Falling Slope,5.668081732913357,11.336163465826713,24.914749870779396
28,1,calcium,BayK8644,1.0,Rising Slope,1.60914705680915,3.2182941136183,-0.030069084928782353
29,1,calcium,BayK8644,1.0,Triangulation,2.062137943594899,4.124275887189798,14.216880034028954
30,1,calcium,BayK8644,3.0,Amplitude,4.380379011106218,8.760758022212435,54.09714852672272
31,1,calcium,BayK8644,3.0,Area Under the Curve,8.48409181949269,16.96818363898538,125.8015938899068
32,1,calcium,BayK8644,3.0,Beat Rate,2.2557569857393216,4.511513971478643,5.7891589180636505
33,1,calcium,BayK8644,3.0,Falling Slope,5.51894725526429,11.03789451052858,19.31216975565545
34,1,calcium,BayK8644,3.0,Rising Slope,2.5112551894057646,5.022510378811529,-8.852778360885555
35,1,calcium,BayK8644,3.0,Triangulation,1.9695248785496846,3.939049757099369,23.494185275462197
36,1,calcium,Blebbistatin,0.0,Amplitude,0.0,0.0,0.0
37,1,calcium,Blebbistatin,0.0,Area Under the Curve,0.0,0.0,0.0
38,1,calcium,Blebbistatin,0.0,Beat Rate,0.0,0.0,0.0
39,1,calcium,Blebbistatin,0.0,Falling Slope,0.0,0.0,0.0
40,1,calcium,Blebbistatin,0.0,Rising Slope,0.0,0.0,0.0
41,1,calcium,Blebbistatin,0.0,Triangulation,0.0,0.0,0.0
42,1,calcium,Blebbistatin,0.3,Amplitude,1.2333609241282395,2.466721848256479,-2.914555277093985
43,1,calcium,Blebbistatin,0.3,Area Under the Curve,2.6377209337908836,5.275441867581767,-8.252423851627906
44,1,calcium,Blebbistatin,0.3,Beat Rate,2.631607952151619,5.263215904303238,2.0747662058868053
45,1,calcium,Blebbistatin,0.3,Falling Slope,0.7039677868730903,1.4079355737461805,-1.7789340544470695
46,1,calcium,Blebbistatin,0.3,Rising Slope,1.0915421980077578,2.1830843960155155,-4.156817379621692
47,1,calcium,Blebbistatin,0.3,Triangulation,1.3624321517053324,2.7248643034106648,-1.394514693370911
48,1,calcium,Blebbistatin,1.0,Amplitude,5.80932662132469,10.824988700094751,4.476292008399008
49,1,calcium,Blebbistatin,1.0,Area Under the Curve,21.50954058619631,43.01908117239262,25.09584079165319
50,1,calcium,Blebbistatin,1.0,Beat Rate,1.8627288013276024,3.725457602655205,-1.7407398404897885
51,1,calcium,Blebbistatin,1.0,Falling Slope,3.5098228938911187,6.079191577787846,-0.5369079239818504
52,1,calcium,Blebbistatin,1.0,Rising Slope,5.245577900633969,9.085607438958522,4.550907414022842
53,1,calcium,Blebbistatin,1.0,Triangulation,9.918627783679373,19.837255567358746,-8.396737002464553
54,1,calcium,Blebbistatin,3.0,Amplitude,1.9874621785884066,3.974924357176813,-11.168207302650762
55,1,calcium,Blebbistatin,3.0,Area Under the Curve,2.3057045326104815,4.611409065220963,-21.08982720214521
56,1,calcium,Blebbistatin,3.0,Beat Rate,1.8528403510885398,3.7056807021770797,4.600113781329759
57,1,calcium,Blebbistatin,3.0,Falling Slope,2.931795062149347,5.863590124298694,-9.544233917363961
58,1,calcium,Blebbistatin,3.0,Rising Slope,3.0187684973299374,6.037536994659875,-5.72504567736998
59,1,calcium,Blebbistatin,3.0,Triangulation,0.3992701975196497,0.7985403950392994,5.63157468340887
60,1,calcium,Blebbistatin,10.0,Amplitude,1.027590272257655,2.05518054451531,-3.984678688672993
61,1,calcium,Blebbistatin,10.0,Area Under the Curve,2.2094111040259268,4.4188222080518536,-7.668028040663336
62,1,calcium,Blebbistatin,10.0,Beat Rate,4.214645505856865,8.42929101171373,-0.38250279806415
63,1,calcium,Blebbistatin,10.0,Falling Slope,3.618206122382814,7.236412244765628,-13.44534424002903
64,1,calcium,Blebbistatin,10.0,Rising Slope,2.7813036208292026,5.562607241658405,-10.82477467365612
65,1,calcium,Blebbistatin,10.0,Triangulation,2.1401760368497245,4.280352073699449,3.0584602585629286
66,1,calcium,Blebbistatin,30.0,Amplitude,3.3985427720284744,6.797085544056949,1.5556110369638274
67,1,calcium,Blebbistatin,30.0,Area Under the Curve,6.89748462047933,13.79496924095866,13.112742273405875
68,1,calcium,Blebbistatin,30.0,Beat Rate,1.294856642543504,2.589713285087008,-4.99093825034773
69,1,calcium,Blebbistatin,30.0,Falling Slope,2.875050687749822,5.750101375499644,-15.2918066599095
70,1,calcium,Blebbistatin,30.0,Rising Slope,2.1363089803659876,4.272617960731975,-10.471083596927377
71,1,calcium,Blebbistatin,30.0,Triangulation,0.5093617216615368,1.0187234433230736,16.461835515210787
72,1,calcium,CDN1163,0.0,Amplitude,0.0,0.0,0.0
73,1,calcium,CDN1163,0.0,Area Under the Curve,0.0,0.0,0.0
74,1,calcium,CDN1163,0.0,Beat Rate,0.0,0.0,0.0
75,1,calcium,CDN1163,0.0,Falling Slope,0.0,0.0,0.0
76,1,calcium,CDN1163,0.0,Rising Slope,0.0,0.0,0.0
77,1,calcium,CDN1163,0.0,Triangulation,0.0,0.0,0.0
78,1,calcium,CDN1163,0.3,Amplitude,1.6289416995666972,3.2578833991333944,-2.483250029700635
79,1,calcium,CDN1163,0.3,Area Under the Curve,2.684422290733398,5.368844581466796,-5.91463552771892
80,1,calcium,CDN1163,0.3,Beat Rate,3.741332144310171,7.482664288620342,2.915585298359537
81,1,calcium,CDN1163,0.3,Falling Slope,3.834345695741349,7.668691391482698,-0.39431658696200067
82,1,calcium,CDN1163,0.3,Rising Slope,2.8012357106665657,5.6024714213331315,-0.30891377517733076
83,1,calcium,CDN1163,0.3,Triangulation,1.8569798812443692,3.7139597624887384,-1.9590922059190474
84,1,calcium,CDN1163,1.0,Amplitude,2.549879785430993,5.099759570861986,-0.7680371802431221
85,1,calcium,CDN1163,1.0,Area Under the Curve,9.192698026678631,18.385396053357262,-15.57396944414483
86,1,calcium,CDN1163,1.0,Beat Rate,15.838132938858177,31.676265877716354,16.10074130149465
87,1,calcium,CDN1163,1.0,Falling Slope,11.12297153872837,22.24594307745674,8.643648113776955
88,1,calcium,CDN1163,1.0,Rising Slope,19.41390235241805,38.8278047048361,18.175232231917022
89,1,calcium,CDN1163,1.0,Triangulation,13.366837173016878,26.733674346033755,-15.985089321332604
90,1,calcium,CDN1163,3.0,Amplitude,1.1984387849973897,2.3968775699947793,-2.563772536934734
91,1,calcium,CDN1163,3.0,Area Under the Curve,2.612670626753142,5.225341253506284,-8.264104400519626
92,1,calcium,CDN1163,3.0,Beat Rate,2.3709233727671224,4.741846745534245,12.022166891720984
93,1,calcium,CDN1163,3.0,Falling Slope,1.3221553188990518,2.6443106377981036,1.472947300684126
94,1,calcium,CDN1163,3.0,Rising Slope,2.885013209303923,5.770026418607846,-0.15574286230957224
95,1,calcium,CDN1163,3.0,Triangulation,0.6196946292072613,1.2393892584145225,-2.923419251281861
96,1,calcium,CDN1163,10.0,Amplitude,1.897556438091601,3.795112876183202,-7.250511749009689
97,1,calcium,CDN1163,10.0,Area Under the Curve,3.8696717944198467,7.739343588839693,-17.429751394392323
98,1,calcium,CDN1163,10.0,Beat Rate,2.4751477734144633,4.950295546828927,18.624949884007375
99,1,calcium,CDN1163,10.0,Falling Slope,1.5314929775121457,3.0629859550242915,-3.5118820138964866
100,1,calcium,CDN1163,10.0,Rising Slope,1.929441127465176,3.858882254930352,0.6545833024920515
101,1,calcium,CDN1163,10.0,Triangulation,1.7679361685276902,3.5358723370553804,-5.2346925817929275
